Metric,L,Distance
Align,0.000001,0.986798612
Align,0.00001,1
Align,0.0001,0.9225430555
Align,0.001,0.9927845041
Align,0.01,0.7787414163
Align,0.025,0.4110153144
Align,0.04,0.1952149483
Align,0.07,0.250539385
Align,0.13,0.0904264817
Align,0.25,0
Align,0.5,0.1481250335
Align,0.75,0.2701866759
Align,0.9,0.3021655683
Align,1,0.3824052759
KF,0.000001,1
KF,0.00001,0.1059660267
KF,0.0001,0.0117753761
KF,0.001,0.0011463359
KF,0.01,0.0001734523
KF,0.025,7.65255199863695E-05
KF,0.04,5.02269084123483E-05
KF,0.07,3.04577896327145E-05
KF,0.13,0.000015532
KF,0.25,7.30782458766098E-06
KF,0.5,2.35542993563842E-06
KF,0.75,7.29863020614318E-07
KF,0.9,0.000000078
KF,1,0
kL,0.000001,0
kL,0.00001,0
kL,0.0001,0
kL,0.001,0.0025500171
kL,0.01,0.0187588465
kL,0.025,0.1527731245
kL,0.04,0.0759427791
kL,0.07,0.1317438827
kL,0.13,0.2008846045
kL,0.25,0.3955167198
kL,0.5,0.6757257812
kL,0.75,0.8854510888
kL,0.9,1
kL,1,0.9798603066
kLn,0.000001,0
kLn,0.00001,0.0129560963
kLn,0.0001,0.0179227623
kLn,0.001,0.094184637
kLn,0.01,0.3577027119
kLn,0.025,0.5878229731
kLn,0.04,0.7046050608
kLn,0.07,0.7903620744
kLn,0.13,0.8721469768
kLn,0.25,0.9609437444
kLn,0.5,1
kLn,0.75,0.9704784408
kLn,0.9,0.9929281653
kLn,1,0.995153127
kU,0.000001,0
kU,0.00001,0.0001299309
kU,0.0001,0.0031443042
kU,0.001,0.0072755926
kU,0.01,0.0210171495
kU,0.025,0.0616860455
kU,0.04,0.0590929349
kU,0.07,0.0843541883
kU,0.13,0.1387490934
kU,0.25,0.2947407566
kU,0.5,0.6052849836
kU,0.75,0.8497455497
kU,0.9,1
kU,1,0.9995656888
kUn,0.000001,0
kUn,0.00001,0.016330328
kUn,0.0001,0.1078974914
kUn,0.001,0.302098632
kUn,0.01,0.3876422251
kUn,0.025,0.6083446325
kUn,0.04,0.6454415292
kUn,0.07,0.7666021551
kUn,0.13,0.8402293945
kUn,0.25,0.9113865649
kUn,0.5,0.954425837
kUn,0.75,0.9732417861
kUn,0.9,1
kUn,1,0.9936737343
MAST,0.000001,0.999000999
MAST,0.00001,1
MAST,0.0001,0.984015984
MAST,0.001,0.9140859141
MAST,0.01,0.5454545455
MAST,0.025,0.3516483516
MAST,0.04,0.2607392607
MAST,0.07,0.1868131868
MAST,0.13,0.1138861139
MAST,0.25,0.04995005
MAST,0.5,0.014985015
MAST,0.75,0.011988012
MAST,0.9,0.002997003
MAST,1,0
Node,0.000001,0.9725841813
Node,0.00001,1
Node,0.0001,0.9487764814
Node,0.001,0.9995727025
Node,0.01,0.7431114014
Node,0.025,0.3914052566
Node,0.04,0.186178937
Node,0.07,0.2207002747
Node,0.13,0.0872553643
Node,0.25,0
Node,0.5,0.1743329269
Node,0.75,0.3025915106
Node,0.9,0.351360471
Node,1,0.4316810624
nPH85,0.000001,1
nPH85,0.00001,0.9953667954
nPH85,0.0001,0.9915057915
nPH85,0.001,0.9428571428
nPH85,0.01,0.5467181467
nPH85,0.025,0.359073359
nPH85,0.04,0.2586872587
nPH85,0.07,0.1868725868
nPH85,0.13,0.1243243243
nPH85,0.25,0.0563706563
nPH85,0.5,0.0193050192
nPH85,0.75,0.0177606177
nPH85,0.9,0
nPH85,1,0.0015444015
RF,0.000001,1
RF,0.00001,0.9953667954
RF,0.0001,0.9915057915
RF,0.001,0.9428571429
RF,0.01,0.5467181467
RF,0.025,0.3590733591
RF,0.04,0.2586872587
RF,0.07,0.1868725869
RF,0.13,0.1243243243
RF,0.25,0.0563706564
RF,0.5,0.0193050193
RF,0.75,0.0177606178
RF,0.9,0
RF,1,0.0015444015
Sim,0.000001,1
Sim,0.00001,0.9721543202
Sim,0.0001,0.9723251084
Sim,0.001,0.7104441701
Sim,0.01,0.1843579091
Sim,0.025,0.050564763
Sim,0.04,0.0264635161
Sim,0.07,0.0104149634
Sim,0.13,0.003281611
Sim,0.25,0.0009906446
Sim,0.5,0.0001942037
Sim,0.75,0.000042783
Sim,0.9,4.96528448759148E-06
Sim,1,0
Trip,0.000001,1
Trip,0.00001,0.9998222381
Trip,0.0001,0.9871566972
Trip,0.001,0.8549240069
Trip,0.01,0.2187138921
Trip,0.025,0.0811039019
Trip,0.04,0.0455515066
Trip,0.07,0.0270420407
Trip,0.13,0.0142653987
Trip,0.25,0.0073993422
Trip,0.5,0.001888721
Trip,0.75,0.0007554884
Trip,0.9,0.0001111012
Trip,1,0
TripL,0.000001,1
TripL,0.00001,0.1058900989
TripL,0.0001,0.0119784483
TripL,0.001,0.0014196512
TripL,0.01,0.0001458377
TripL,0.025,0.000044886
TripL,0.04,0.000023703
TripL,0.07,1.26276504067778E-05
TripL,0.13,6.48819046903396E-06
TripL,0.25,3.51789267131629E-06
TripL,0.5,1.12472281991031E-06
TripL,0.75,4.37944848521981E-07
TripL,0.9,8.99147697078019E-08
TripL,1,0
pathdist,0.000001,0.9945662107
pathdist,0.00001,1
pathdist,0.0001,0.9743630824
pathdist,0.001,0.8940031679
pathdist,0.01,0.4776154616
pathdist,0.025,0.3630124343
pathdist,0.04,0.2929788918
pathdist,0.07,0.2350256419
pathdist,0.13,0.1850832976
pathdist,0.25,0.0957775489
pathdist,0.5,0.0358511115
pathdist,0.75,0.0295029744
pathdist,0.9,0
pathdist,1,0.0003871253
pathdistw,0.000001,1
pathdistw,0.00001,0.1054880898
pathdistw,0.0001,0.0114887194
pathdistw,0.001,0.0010804187
pathdistw,0.01,0.000102581
pathdistw,0.025,0.000042922
pathdistw,0.04,2.45648631842781E-05
pathdistw,0.07,1.3628880662706E-05
pathdistw,0.13,6.96191776470071E-06
pathdistw,0.25,3.21846060180616E-06
pathdistw,0.5,9.63441945111143E-07
pathdistw,0.75,3.6645284099271E-07
pathdistw,0.9,0.000000038
pathdistw,1,0
BHV,0.000001,1
BHV,0.00001,0.1058658296
BHV,0.0001,0.0116505945
BHV,0.001,0.0012041893
BHV,0.01,0.0001345965
BHV,0.025,0.000032366
BHV,0.04,1.53434797255041E-05
BHV,0.07,6.09516836234105E-06
BHV,0.13,1.86652602947207E-06
BHV,0.25,0.000000535
BHV,0.5,1.02380396034466E-07
BHV,0.75,2.27328140882967E-08
BHV,0.9,2.42509881654949E-09
BHV,1,0
KC,0.000001,0.9916019052
KC,0.00001,1
KC,0.0001,0.9899770057
KC,0.001,0.8919723533
KC,0.01,0.4282779512
KC,0.025,0.2605350276
KC,0.04,0.1898577097
KC,0.07,0.1426601267
KC,0.13,0.0985430953
KC,0.25,0.0547397662
KC,0.5,0.0197427551
KC,0.75,0.0128206969
KC,0.9,0
KC,1,0.0004829063
KCw,0.000001,1
KCw,0.00001,0.1073499858
KCw,0.0001,0.0119141305
KCw,0.001,0.0009853807
KCw,0.01,8.51769020341419E-05
KCw,0.025,3.85173381063304E-05
KCw,0.04,2.08685564671654E-05
KCw,0.07,1.21198092640521E-05
KCw,0.13,6.48248568814843E-06
KCw,0.25,0.000003041
KCw,0.5,8.89665714417332E-07
KCw,0.75,3.69057579942214E-07
KCw,0.9,1.17237510872114E-08
KCw,1,0
